what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.408.v200911241806,"org.eclipse.wst.ws.explorer",1397199460140
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1397199460141
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1397199460141
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v200906151043,"org.eclipse.emf.cheatsheets",1397199460141
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1397199460142
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2029,"org.eclipse.gmf.doc.ui",1397199460142
stopped,bundle,org.eclipse.cdt,6.0.2.201002161416,"org.eclipse.cdt",1397199460143
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201002161416,"org.eclipse.cdt.doc.user",1397199460143
stopped,bundle,org.eclipse.emf.teneo.hibernate.eclipse,1.1.0.v200909151729,"org.eclipse.emf.teneo.hibernate.eclipse",1397199460144
stopped,bundle,org.eclipse.emf.teneo.orm.eclipse,1.0.0.v200909151729,"org.eclipse.emf.teneo.orm.eclipse",1397199460144
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.1.0.v200909151729,"org.eclipse.emf.teneo.eclipse",1397199460145
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1397199460145
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1397199460146
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen.edit",1397199460147
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen",1397199460147
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.100.v20090424-1042,"org.eclipse.gmf.codegen.ui",1397199460148
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.ui",1397199460148
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1397199460149
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1397199460149
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1397199460150
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1397199460150
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1397199460151
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1397199460151
stopped,bundle,org.eclipse.sdk,3.5.2.v201002111343,"org.eclipse.sdk",1397199460152
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1397199460152
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1397199460153
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.ui",1397199460153
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v201001270323,"org.eclipse.datatools.connectivity.ui.dse",1397199460154
stopped,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1397199460154
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1397199460155
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1397199460156
stopped,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1397199460156
stopped,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1397199460157
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1397199460157
stopped,bundle,org.eclipse.net4j.http.server,2.0.0.v200906160348,"org.eclipse.net4j.http.server",1397199460158
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1397199460158
stopped,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1397199460158
stopped,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1397199460158
stopped,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1397199460158
stopped,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1397199460158
stopped,bundle,org.eclipse.emf.cdo.ui.defs,2.0.0.v200906160459,"org.eclipse.emf.cdo.ui.defs",1397199460159
stopped,bundle,org.eclipse.emf.cdo.defs,2.0.0.v200906160459,"org.eclipse.emf.cdo.defs",1397199460159
stopped,bundle,org.eclipse.emf.cdo.tests.mango.edit,2.0.0.v200906160459,"org.eclipse.emf.cdo.tests.mango.edit",1397199460160
stopped,bundle,org.eclipse.emf.cdo.tests.model2.edit,2.0.0.v200906160459,"org.eclipse.emf.cdo.tests.model2.edit",1397199460160
stopped,bundle,org.eclipse.emf.cdo.tests.model1.edit,2.0.0.v200906160459,"org.eclipse.emf.cdo.tests.model1.edit",1397199460161
stopped,bundle,org.eclipse.emf.cdo.ui,2.0.0.v200906160459,"org.eclipse.emf.cdo.ui",1397199460161
stopped,bundle,org.eclipse.emf.cdo.edit,2.0.0.v200906160459,"org.eclipse.emf.cdo.edit",1397199460162
stopped,bundle,org.eclipse.emf.cdo.examples,2.0.0.v200906160459,"org.eclipse.emf.cdo.examples",1397199460162
stopped,bundle,org.eclipse.emf.cdo.server.db,2.0.0.v200906160459,"org.eclipse.emf.cdo.server.db",1397199460162
stopped,bundle,org.eclipse.emf.cdo.server,2.0.0.v200906160459,"org.eclipse.emf.cdo.server",1397199460163
stopped,bundle,org.eclipse.emf.cdo,2.0.0.v200906160459,"org.eclipse.emf.cdo",1397199460164
stopped,bundle,org.eclipse.emf.cdo.common,2.0.0.v200906160459,"org.eclipse.emf.cdo.common",1397199460164
stopped,bundle,org.eclipse.net4j.buddies.chat.ui,2.0.0.v200906160348,"org.eclipse.net4j.buddies.chat.ui",1397199460164
stopped,bundle,org.eclipse.net4j.buddies.ui,2.0.0.v200906160348,"org.eclipse.net4j.buddies.ui",1397199460165
stopped,bundle,org.eclipse.net4j.buddies,2.0.0.v200906160348,"org.eclipse.net4j.buddies",1397199460165
stopped,bundle,org.eclipse.net4j.buddies.chat,2.0.0.v200906160348,"org.eclipse.net4j.buddies.chat",1397199460166
stopped,bundle,org.eclipse.net4j.buddies.server,2.0.0.v200906160348,"org.eclipse.net4j.buddies.server",1397199460166
stopped,bundle,org.eclipse.net4j.buddies.common,2.0.0.v200906160348,"org.eclipse.net4j.buddies.common",1397199460167
stopped,bundle,org.eclipse.net4j.ui.defs,2.0.0.v200906160348,"org.eclipse.net4j.ui.defs",1397199460167
stopped,bundle,org.eclipse.net4j.defs,2.0.0.v200906160348,"org.eclipse.net4j.defs",1397199460168
stopped,bundle,org.eclipse.net4j.http,2.0.0.v200906160348,"org.eclipse.net4j.http",1397199460168
stopped,bundle,org.eclipse.net4j.http.common,2.0.0.v200906160348,"org.eclipse.net4j.http.common",1397199460169
stopped,bundle,org.eclipse.net4j.jms.admin,2.0.0.v200906160348,"org.eclipse.net4j.jms.admin",1397199460169
stopped,bundle,org.eclipse.net4j.jms.server.jdbc,2.0.0.v200906160348,"org.eclipse.net4j.jms.server.jdbc",1397199460170
stopped,bundle,org.eclipse.net4j.jms.server,2.0.0.v200906160348,"org.eclipse.net4j.jms.server",1397199460170
stopped,bundle,org.eclipse.net4j.jms,2.0.0.v200906160348,"org.eclipse.net4j.jms",1397199460171
stopped,bundle,org.eclipse.net4j.examples,2.0.0.v200906160348,"org.eclipse.net4j.examples",1397199460172
stopped,bundle,org.eclipse.net4j.jvm,2.0.0.v200906160348,"org.eclipse.net4j.jvm",1397199460172
stopped,bundle,org.eclipse.net4j.tcp,2.0.0.v200906160348,"org.eclipse.net4j.tcp",1397199460173
stopped,bundle,org.eclipse.net4j.ui,2.0.0.v200906160348,"org.eclipse.net4j.ui",1397199460174
stopped,bundle,org.eclipse.net4j,2.0.0.v200906160348,"org.eclipse.net4j",1397199460175
stopped,bundle,org.eclipse.net4j.db.derby,2.0.0.v200906160348,"org.eclipse.net4j.db.derby",1397199460175
stopped,bundle,org.eclipse.net4j.db,2.0.0.v200906160348,"org.eclipse.net4j.db",1397199460175
stopped,bundle,org.eclipse.net4j.util.defs,2.0.0.v200906160348,"org.eclipse.net4j.util.defs",1397199460176
stopped,bundle,org.eclipse.net4j.util.ui,2.0.0.v200906160348,"org.eclipse.net4j.util.ui",1397199460176
stopped,bundle,org.eclipse.net4j.util,2.0.0.v200906160348,"org.eclipse.net4j.util",1397199460177
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1397199460177
stopped,bundle,org.eclipse.equinox.p2.director.app,1.0.101.R35x_v20091106,"org.eclipse.equinox.p2.director.app",1397199460178
stopped,bundle,org.eclipse.equinox.p2.console,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.console",1397199460178
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1397199460179
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1397199460179
stopped,bundle,org.eclipse.wst.server.discovery,1.0.0.v20090602,"org.eclipse.wst.server.discovery",1397199460180
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.301.v200908131325,"org.eclipse.jst.ejb.ui",1397199460181
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1397199460182
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1397199460183
stopped,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1397199460184
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1397199460184
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.300.v200809052300,"org.eclipse.jst.j2ee.jca.ui",1397199460185
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ui",1397199460185
stopped,bundle,org.eclipse.wst.web.ui,1.1.301.v201001252130,"org.eclipse.wst.web.ui",1397199460186
stopped,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1397199460186
stopped,bundle,org.eclipse.wst.server.discovery,1.0.1.v20100210,"org.eclipse.wst.server.discovery",1397199460187
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1397199460187
stopped,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1397199460187
stopped,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1397199460187
stopped,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1397199460188
stopped,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1397199460189
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v20090520-1343,"org.eclipse.gmf.bridge.trace",1397199460201
